DateTime	UAStime	CONCN	COUNT	ABSRA	ABSRB	ABSGA	ABSGB	ABSBA	ABSBB	CHMPS	AT	RH	BATTV	OPCB4	OPCB5	OPCB6	OPCB7	OPCB8	PROBT	PRBRH	SMPFL	SMPFP	SATFL	SATFP	ABSFL	ABSFP	CHMFL	CHMFP	OPCFL	OPCFP	OPTCT	OPTCP	CONDT	CONDP	SATTT	SATTP	SATBT	SATBP	INLTT	FILLC	CABNT	CABNP	PRESS	MCPCPWR	ABSLED	CHEMPOS	MPUMP	APUMP	CPUMP	OPUMP	SAMPRPT	STATRPT	RPTLABEL	SAMPFLOW	SATFLOW	ABSFLOW	CHEMFLOW	OPCFLOW	POP
2015-04-21 07:38:46	27526	18.9	115	426516	470656	482133	550358	414522	483430	1	-2.94	54.51	11.7	0	0	0	0	0	-39.9	0	368	115	355	64	1597	154	1924	200	180.9	115	24.5	200	14.8	130	30.9	200	31.0	200	12.7	262	14.3	0	1004																POPS,20150421T07, 582.00,   1.00,1004.00,NaN,    NaN,  13,8, 194,  24,   5,   0,   0
2015-04-21 07:38:48	27528	21.5	132	426530	470675	482133	550360	414493	483406	1	-2.94	54.46	11.7	0	0	0	0	0	-39.9	0	364	115	353	64	1598	154	1938	200	180.6	115	24.6	200	14.8	130	31.1	200	31.2	200	12.7	266	14.3	0	1004																POPS,20150421T07391.00,   1.00,1004.00,    NaN,    NaN,  15, 153, 197, 198,  24,   4,   0
2015-04-21 07:38:50	27530	20.3	124	426867	471048	482844	551179	415511	484596	1	-2.96	54.46	11.8	0	0	0	0	0	-39.9	0	369	114	360	64	1608	152	1974	200	181.8	113	24.7	125	14.8	130	31.2	200	31.3	200	12.8	270	14.4	0	1004																POPS,20150421T073848.942,1, 578.00,   1.00,1004.00,  1,    NaN,  21, 1 25,   2,   1,   0
2015-04-21 07:38:52	27532	19.7	117	428386	472730	483757	552225	415675	484792	1	-2.97	54.41	11.9	0	0	0	0	0	-39.9	0	353	112	374	62	1603	152	2000	200	183.0	111	24.9	26	14.8	130	31.4	200	31.5	200	12.8	274	14.4	0	1004																POPS,20150421T07385000,   1.00,1006.00,    NaN,    NaN,  21, 127, 188, 178,
2015-04-21 07:38:54	27534	29.4	178	428917	473316	484225	552766	415654	484768	1	-2.99	54.37	12.0	0	0	0	0	0	-39.9	0	371	112	351	63	1604	151	2016	200	180.2	111	24.9	26	14.8	130	31.6	200	31.7	200	12.8	278	14.4	0	1003																POPS,20150421T073852.941,11.00,1009.00,  25NaN,    NaN,  19, 145, 215, 199,  33,   4,   2,   0
2015-04-21 07:38:56	27536	30.1	177	429331	473779	484419	552990	416046	485223	1	-2.98	54.34	12.1	0	0	0	0	0	-39.9	0	365	111	367	63	1606	150	2061	200	180.0	111	25.0	0	14.8	130	31.7	200	31.9	200	12.8	282	14.4	0	1004																POPS,20150421T0738.00,   1.00,1000.00,    NaN,    NaN,  11, 132, 191, 181,  20,   3,
2015-04-21 07:38:58	27538	17.3	109	430057	474581	484808	553432	416482	485735	1	-2.99	54.23	12.1	0	0	0	0	0	-39.9	0	373	111	337	62	1602	150	2059	200	180.9	111	25.0	0	14.8	130	31.9	200	32.0	200	12.8	286	14.4	0	1004																POPS,20150421T073856.946,1, 568.00,   1.00,1003.00,   0.00,   ,  15, 149, 187,,   1,   0
2015-04-21 07:39:00	27540	24.7	150	429127	473558	484221	552764	416009	485184	1	-3.01	54.13	12.0	0	0	0	0	0	-39.9	0	351	111	367	62	1601	150	2042	200	181.0	111	25.0	0	14.8	130	32.1	200	32.2	200	12.8	290	14.4	0	1004																POPS,20150421T073858.944 1.00,1004.00,  3 NaN,    NaN,  28, 117, 197, 203,  28,   3,   2,   0
2015-04-21 07:39:04	27544	48.1	276	429193	473637	484198	552746	416598	485885	1	-3.05	53.93	12.0	0	0	0	0	0	-39.9	0	334	112	380	62	1596	150	2050	200	180.6	111	25.0	26	14.9	130	32.4	200	32.5	200	12.8	298	14.5	0	1004																POPS,20150421T073902.942,1,00,1006.00,  15.0N,    NaN,  18,  98, 208, 193,  29,   2,   0,   0
2015-04-21 07:39:06	27546	31.5	193	428861	473269	484166	552705	416467	485730	1	-3.06	53.88	12.0	0	0	0	0	0	-39.9	0	370	113	348	64	1596	150	2034	200	180.8	111	24.9	52	14.9	130	32.6	200	32.7	200	12.8	302	14.5	0	1004																POPS,20150421T073904.944,1, 572.00,   1.00,1006.00,  26.00,    7,   0,   0
2015-04-21 07:39:08	27548	35.9	213	428653	473037	484019	552550	416302	485536	1	-3.07	53.75	12.0	0	0	0	0	0	-39.9	0	353	111	359	62	1598	151	2033	200	180.9	111	24.9	52	14.9	130	32.7	200	32.9	200	12.8	306	14.5	0	1004																POPS,20150421T073906.,   1.00,1005.00,    NaN,    NaN,  17, 128, 208, 203,  24,   6,   1,   0
2015-04-21 07:39:10	27550	69.1	394	428645	473029	484148	552683	416255	485484	1	-3.07	53.62	12.0	0	0	0	0	0	-39.9	0	350	111	371	63	1601	151	2009	200	181.2	111	24.9	52	14.9	130	32.9	200	33.0	200	12.8	310	14.5	0	1004																POPS,20150421T073900,   1.00,1003.00,    NaN,    NaN,  13, 127, 199, 226,  23,   5,   0,
2015-04-21 07:39:12	27552	23.9	150	427939	472255	483194	551604	415863	485033	1	-3.07	53.54	11.9	0	0	0	0	0	-39.9	0	365	113	322	62	1597	151	1997	200	178.2	111	24.8	126	14.9	130	33.0	200	33.2	200	12.8	314	14.5	0	1003																POPS,20150421T07,1, 587.00,   1.00,  26.00,    NaN,    NaN,  21, 130, 212, 185,  33,   5
2015-04-21 07:39:14	27554	44.5	264	427960	472279	483251	551664	416224	485452	1	-3.10	53.41	11.9	0	0	0	0	0	-39.9	0	362	113	360	64	1596	151	1974	200	178.2	111	24.8	126	14.9	130	33.2	200	33.4	200	12.8	318	14.6	0	1003																POPS,20150421T073912.06.00,   1.00,1006.00,    NaN,    NaN,  18, 142, 199, 213,  27,   7,   0
2015-04-21 07:39:16	27556	52.2	308	427735	472031	483072	551460	415981	485177	1	-3.13	53.32	11.9	0	0	0	0	0	-39.9	0	352	114	358	64	1594	151	1985	200	178.1	111	24.8	200	15.0	130	33.3	200	33.5	200	12.8	322	14.6	0	1004																POPS,20150421T073914.95.00,   0.00,    NaN,  18, 125, 174, 198,  27,   1,   0,   0
2015-04-21 07:39:18	27558	44.2	270	427114	471348	482185	550452	415064	484100	1	-3.13	53.27	11.8	0	0	0	0	0	-39.9	0	366	114	351	64	1596	154	1941	200	179.4	113	24.8	200	15.0	130	33.5	200	33.7	200	12.8	326	14.6	0	1003																POPS,20150421T073916.94.00,   1.00,1004.00,    NaN,    NaN,  11, 140, 190, 201,  22,   4,   0,
2015-04-21 07:39:20	27560	60.0	363	427376	471640	482328	550618	415606	484742	1	-3.14	53.14	11.8	0	0	0	0	0	-39.9	0	360	114	355	64	1602	154	1940	200	179.5	113	24.9	126	15.0	130	33.6	200	33.8	200	12.8	330	14.6	0	1004																POPS,20150421T07391 562.00,   1.00,1  0.00,    NaN,    NaN,  14, 133, 200, 186,  27,   2,
2015-04-21 07:39:22	27562	64.9	390	428059	472389	483088	551487	416121	485345	1	-3.16	53.09	11.9	0	0	0	0	0	-39.9	0	362	114	363	64	1607	151	1972	200	181.0	113	24.9	126	15.0	130	33.8	200	34.0	200	12.8	334	14.7	0	1004																POPS,20150421T073920.91.00,   1.00,1004.00,   0.00,    NaN,    NaN,  15, 132,
2015-04-21 07:39:24	27564	62.9	385	428722	473132	484102	552658	416313	485570	1	-3.17	52.96	12.0	0	0	0	0	0	-39.9	0	359	112	379	62	1602	151	1998	200	184.6	112	25.0	52	15.0	130	33.9	200	34.1	200	12.8	338	14.7	0	1004																POPS,20150421T071, 530.00,   1.00,   0.00,    NaN,    NaN,  16, 125, 166, 190,  31,   1
2015-04-21 07:39:26	27566	70.8	430	429188	473647	484061	552608	416865	486217	1	-3.19	52.88	12.0	0	0	0	0	0	-39.9	0	359	111	371	62	1605	151	2004	200	180.1	110	25.1	26	15.0	130	34.1	200	34.3	200	12.8	342	14.7	0	1003																POPS,20150421T073 602.00,   1.00,1 24.00,    NaN,    NaN,  23, 137, 182, 231,  27,   0,
2015-04-21 07:39:28	27568	122.0	699	429356	473835	484379	552972	416985	486358	1	-3.19	52.86	12.0	0	0	0	0	0	-39.9	0	353	111	373	62	1606	149	2023	200	181.1	110	25.1	26	15.0	130	34.3	200	34.5	200	12.8	346	14.7	0	1004																POPS,20150421T073926.944,1, 607.00,   1.00,1004.00,NaN,    NaN,  17,8,  26,   3,   1,   0
2015-04-21 07:39:30	27570	111.0	662	429263	473734	484100	552652	416362	485631	1	-3.20	52.75	12.0	0	0	0	0	0	-39.9	0	357	111	372	61	1595	150	2022	200	180.0	110	25.1	52	15.1	130	34.4	200	34.7	200	12.9	350	14.7	0	1003																POPS,20150421T071, 621.00,   1.00,1006.00,    NaN,    NaN, , 211, 209,  25,   2,   1,   0
